Question_ID,Subject,Question,Student_Response,Result
101,Mathematics,What is the value of Pi to two decimal places?,3.14,Correct
102,Mathematics,Solve for x: 2x + 5 = 15,x = 10,Incorrect
103,Science,What is the chemical symbol for Gold?,Au,Correct
104,Science,Which planet is known as the Red Planet?,Jupiter,Incorrect
105,Geography,What is the capital city of Japan?,Tokyo,Correct
106,Geography,Which is the longest river in the world?,The Amazon,Incorrect
107,History,Who was the first President of the United States?,George Washington,Correct
108,History,In what year did the Titanic sink?,1912,Correct
109,Literature,Who wrote 'Romeo and Juliet'?,Charles Dickens,Incorrect
110,Literature,What is the antonym of 'Benevolent'?,Malevolent,Correct
111,Biology,What is the powerhouse of the cell?,Mitochondria,Correct
112,Biology,How many bones are in the adult human body?,200,Incorrect
113,Physics,What is the formula for Force?,F = ma,Correct
114,Physics,What is the speed of light?,300 km/h,Incorrect
115,General Knowledge,How many colors are in a rainbow?,7,Correct